"","area_resultado","programa","acao","sub_acao","quantificacao_meta","quantificacao_executada","relacao_fisica","relacao_fisica_agrupamento","valor_orcado","valor_empenhado","relacao_financeira","relacao_financeira_agrupamento","eficacia","programa_tipo","nome_uo","funcao","subfuncao","nome_programa","nome_acao","nome_sub_acao","nome_produto"
"11",6,999,9999,1,0,0,-1,"N�o h� meta",5146630,0,0,"N�o h� execu��o",0,"Associado","ENCARGOS GERAIS DO MUNICÍPIO DA SECRETARIA MUNICIPAL DE FINANÇAS","Reserva de Contingência","Reserva de Contingência","Reserva de Contingência","Reserva de Contingência","Reserva de Contingência","Serviços Administrativos"
"12",10,101,2869,9,7500,8825,1.17666666666667,"0.7 a 1.3",56000,0,0,"N�o h� execu��o",-1,"Associado","SECRETARIA MUNICIPAL ADJUNTA DE LAZER","Desporto e Lazer","Lazer","Promoção e Democratização das Práticas de Esportes e Lazer","Programas e Atividades de Lazer","Caminhar Pistas","Atendimento realizado"
"13",8,227,2334,11,1,1,1,"0.7 a 1.3",1000,0,0,"N�o h� execu��o",-1,"Sustentador","SECRETARIA MUNICIPAL ADJUNTA DE GESTÃO COMPARTILHADA","Administração","Administração Geral","Orçamento Participativo e Gestão Compartilhada","Gestão Compartilhada e Participação Social","Implantação do Orçamento Participativo Criança e Adolescente - OPCA nas Escolas Municipais","OPCA realizado"
"14",7,225,1231,11,1,3.57,3.57,"Acima de 2.0",270000,751372,2.78285925925926,"Acima de 2.0",1.28285324573517,"Sustentador","FUNDO MUNICIPAL DE HABITAÇÃO POPULAR","Habitação","Habitação Urbana","Vila Viva","Melhorias Urbanas em Assentamentos Precários","Implantação do Vila Viva - Califórnia","Obra executada"
"15",6,15,2007,2,40,46,1.15,"0.7 a 1.3",1000000,29358509,29.358509,"Acima de 2.0",0.039170928299427,"Associado","ASSESSORIA DE COMUNICAÇÃO SOCIAL DO MUNICÍPIO","Administração","Comunicação Social","Divulgação Institucional do Município","Serviços de Divulgação Institucional do Município","Campanha de Divulgação Institucional do Município","Campanha realizada"
"16",6,15,2779,1,0,0,-1,"N�o h� meta",1181700,1039230,0.879436405178979,"0.7 a 1.3",0,"Associado","ASSESSORIA DE CERIMONIAL E MOBILIZAÇÃO","Administração","Comunicação Social","Divulgação Institucional do Município","Serviços de Comunicação Social e Cerimonial do Município","Serviços de Comunicação Social e Cerimonial do Município","Serviços Administrativos"
"17",6,141,2852,1,0,0,-1,"N�o h� meta",3570400,4482271,1.25539743446112,"0.7 a 1.3",0,"Associado","SECRETARIA MUNICIPAL DE DESENVOLVIMENTO","Administração","Administração Geral","Articulação do Planejamento do Desenvolvimento Socioeconômico","Coordenação da Política de Desenvolvimento Econômico e Social","Coordenação da Política de Desenvolvimento Econômico e Social","Serviços Administrativos"
"18",10,234,2403,17,20,20,1,"0.7 a 1.3",564920,515293,0.912152163138143,"0.7 a 1.3",1.09630835056305,"Sustentador","FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL","Assistência Social","Assistência Comunitária","BH Cidadania  e o SUAS - Sistema Único de Assistência Social","Serviço de Proteção Social Especial de Alta Complexidade","Unidade de Acolhimento Institucional para população adulta em situação de rua em caso de pós alta hospitalar ( META NÃO CUMULATIVA )","Vaga disponibilizada/mês"
"19",10,238,2866,11,1,1,1,"0.7 a 1.3",2000,0,0,"N�o h� execu��o",-1,"Sustentador","SECRETARIA MUNICIPAL ADJUNTA DE ESPORTES","Desporto e Lazer","Desporto de Rendimento","Promoção do Esporte e do Lazer","Esporte de Rendimento","Jogos BH","Edições"
"20",9,46,2537,3,285258,301550.73,1.05711576888291,"0.7 a 1.3",5090565,5461418,1.07285104895036,"0.7 a 1.3",0.985333263874054,"Associado","SUPERINTENDÊNCIA DE LIMPEZA URBANA","Saneamento","Saneamento Básico Urbano","Operacionalização e Modernização da Limpeza Pública","Tratamento e Destinação de Resíduos Sólidos","Transbordo de Resíduos Sólidos","Massa tratada/destinada"
"21",10,238,2869,8,10,18,1.8,"1.3 a 2.0",91000,0,0,"N�o h� execu��o",-1,"Sustentador","SECRETARIA MUNICIPAL ADJUNTA DE LAZER","Desporto e Lazer","Lazer","Promoção do Esporte e do Lazer","Programas e Atividades de Lazer","Brincando na Vila","Intervenção realizada"
"22",1,117,2895,3,0,0,-1,"N�o h� meta",106274420,105942419,0.996876002710718,"0.7 a 1.3",0,"Associado","FUNDO MUNICIPAL DE SAÚDE","Saúde","Administração Geral","Gestão do SUS-BH","Suporte Logístico","Serviços de Apoio à Rede Própria do SUS-BH","Serviços Administrativos"
"23",2,207,2761,6,100,100,1,"0.7 a 1.3",10000,0,0,"N�o h� execu��o",-1,"Sustentador","FUNDO MUNICIPAL DE MERENDA ESCOLAR","Assistência Social","Alimentação e Nutrição","Melhoria da Qualidade da Educação","Gestão da Assistência Alimentar e Nutricional à Rede Municipal de Ensino","Atendimento das Demandas de Dietas Especiais ( META NÃO CUMULATIVA )","Percentual da demanda atendida"
"24",10,120,2797,3,16000,55120,3.445,"Acima de 2.0",0,0,-1,"N�o h� meta",-1,"Associado","SECRETARIA MUNICIPAL  DE POLÍTICAS  SOCIAIS","Assistência Social","Assistência Comunitária","Transferência de Renda","Coordenação das Ações de Transferência de Renda -  Programa Bolsa Família","Realização do Cadastro das Famílias","Cadastro Realizado"
"25",1,201,2896,1,0,0,-1,"N�o h� meta",71842422,13579794,0.189021940268105,"0.01 a 0.4",0,"Sustentador","FUNDO MUNICIPAL DE SAÚDE","Saúde","Assistência Hospitalar e Ambulatorial","Hospital Metropolitano","Operacionalização do Hospital Metropolitano","Operacionalização do Hospital Metropolitano","Serviços Administrativos"
"26",10,101,2869,11,2,2,1,"0.7 a 1.3",52500,0,0,"N�o h� execu��o",-1,"Associado","SECRETARIA MUNICIPAL ADJUNTA DE LAZER","Desporto e Lazer","Lazer","Promoção e Democratização das Práticas de Esportes e Lazer","Programas e Atividades de Lazer","BH em Férias","Intervenção realizada"
"27",6,26,3004,1,0,0,-1,"N�o h� meta",199500,266706,1.33687218045113,"1.3 a 2.0",0,"Associado","FUNDO PREVIDENCIÁRIO - BHPREV","Previdência Social","Previdência Básica","Gestão Previdenciária Municipal","Benefícios Previdenciários - PBH","Encargos com Inativos e Pensionistas - PBH","Serviços Administrativos"
"28",4,84,2035,2,0,0,-1,"N�o h� meta",26030000,6116763,0.234988974260469,"0.01 a 0.4",0,"Associado","SUPERINTENDÊNCIA DE DESENVOLVIMENTO DA CAPITAL","Urbanismo","Infra-Estrutura Urbana","Serviços  de Iluminação Pública","Controle das Operações de Iluminação Pública","Ampliação de Redes de Iluminação Pública","Serviços Administrativos"
"29",1,117,2895,4,0,0,-1,"N�o h� meta",8850000,962953,0.108808248587571,"0.01 a 0.4",0,"Associado","FUNDO MUNICIPAL DE SAÚDE","Saúde","Administração Geral","Gestão do SUS-BH","Suporte Logístico","Manutenção dos Equipamentos, Mobiliários e Prediais","Serviços Administrativos"
"30",5,218,2629,25,9,9,1,"0.7 a 1.3",10000,0,0,"N�o h� execu��o",-1,"Sustentador","EMPRESA MUNICIPAL DE TURISMO DE BELO HORIZONTE S/A","Comércio e Serviços","Turismo","Turismo em BH","Promoção e Desenvolvimento do Turismo de Negócios e Apoio à Eventos Culturais e Econômicos","Apoio aos Blocos Carnavalescos de Belo Horizonte","Evento realizado"
"31",10,127,2840,1,0,0,-1,"N�o h� meta",439961,451715,1.02671600437311,"0.7 a 1.3",0,"Associado","CONSÓRCIO DA MULHER","Direitos da Cidadania","Direitos Individuais, Coletivos e Difusos","Promoção e Defesa de Direitos Humanos e Cidadania","Apoio ao Consorcio da Mulher","Aplicação Programa no Consórcio da Mulher","Serviços Administrativos"
"32",10,127,2697,2,50,150,3,"Acima de 2.0",10000,0,0,"N�o h� execu��o",-1,"Associado","FUNDO MUNICIPAL DO IDOSO","Direitos da Cidadania","Direitos Individuais, Coletivos e Difusos","Promoção e Defesa de Direitos Humanos e Cidadania","Qualificação de Atendimento ao Idoso","Capacitação e Formação de Atores de Atendimento e de Defesa do Sistema de Direitos","Pessoa capacitada"
"33",7,226,1207,7,1954,2729,1.39662231320368,"1.3 a 2.0",3163863,500000,0.158034655735726,"0.01 a 0.4",8.83744335174561,"Sustentador","FUNDO MUNICIPAL DE HABITAÇÃO POPULAR","Habitação","Habitação Urbana","Habitação","Produção de Moradias","Acompanhamento Social de Famílias do Programa Minha Casa Minha Vida ( META NÃO CUMULATIVA )","Família beneficiada"
"34",2,140,2080,3,0,0,-1,"N�o h� meta",45000,0,0,"N�o h� execu��o",0,"Associado","SECRETARIA MUNICIPAL DE EDUCAÇÃO","Educação","Ensino Fundamental","Gestão e Operacionalização da Política Educacional","Administração do Ensino Fundamental","Cadastro Escolar","Serviços Administrativos"
"35",2,140,2888,2,23781,24011,1.0096715865607,"0.7 a 1.3",87984309,90204013,1.02522840748798,"0.7 a 1.3",0.984825968742371,"Associado","SECRETARIA MUNICIPAL DE EDUCAÇÃO","Educação","Educação Infantil","Gestão e Operacionalização da Política Educacional","Conveniamento com Instituições de Educação Infantil","Gestão de Convênio com Instituições de Educação Infantil ( META NÃO CUMULATIVA )","Aluno beneficiado"
"36",6,12,2874,1,12,12,1,"0.7 a 1.3",0,0,-1,"N�o h� meta",-1,"Associado","SECRETARIA ESPECIAL PREVENÇÃO CORRUPÇÃO E INFORMAÇÕES ESTRATÉGICAS","Administração","Controle Interno","Gestão do Sistema de Controle Interno","Serviço de Prevenção da Corrupção e Informações Estratégicas","Portal Transparência e Acesso à Informação","Atividade realizada"
"37",1,114,2892,2,9300000,9950615,1.06995860215054,"0.7 a 1.3",374700000,302309873,0.806805105417667,"0.7 a 1.3",1.326167345047,"Associado","FUNDO MUNICIPAL DE SAÚDE","Saúde","Assistência Hospitalar e Ambulatorial","Rede de Cuidados Especializados Complementares à Saúde","Rede Contratada de Cuidados Especializados Complementares à Saúde - Ambulatorial","Procedimentos Ambulatoriais Processados na Rede Complementar Contratada do SUS-BH","Procedimento realizado"
"38",11,146,2838,1,0,0,-1,"N�o h� meta",4309600,4984748,1.15666140709115,"0.7 a 1.3",0,"Associado","ENCARGOS GERAIS DO MUNICÍPIO DA SECRETARIA MUNICIPAL DE PLANEJAMENTO, ORÇAMENTO E INFORMAÇÃO","Cultura","Difusão Cultural","Gestão da Política Cultural","Encargos com Servidores Lotados na FMC","Encargos com Servidores Lotados na FMC","Serviços Administrativos"
"39",2,207,2706,2,100,100,1,"0.7 a 1.3",0,0,-1,"N�o h� meta",-1,"Sustentador","SECRETARIA MUNICIPAL DE EDUCAÇÃO","Educação","Ensino Fundamental","Melhoria da Qualidade da Educação","Melhoria da Aprendizagem e Avaliação de Desempenho Escolar","Reforço Escolar em Português e Matemática ( META NÃO CUMULATIVA )","Percentual da demanda atendida"
"40",6,7,2808,1,0,0,-1,"N�o h� meta",5390464,6402759,1.18779366674186,"0.7 a 1.3",0,"Apoio Administrativo","SECRETARIA MUNICIPAL ADJUNTA DE GESTÃO ADMINISTRATIVA","Administração","Administração Geral","Apoio Administrativo e Financeiro","Gestão do Sistema Logístico e de Serviços","Gestão de Serviços de Apoio Logístico","Serviços Administrativos"
"41",6,85,2605,1,0,0,-1,"N�o h� meta",1173999,973826,0.829494744033002,"0.7 a 1.3",0,"Associado","EMPRESA DE INFORMÁTICA E INFORMAÇÃO DO MUNICÍPIO DE BELO HORIZONTE","Educação","Ensino Fundamental","Gestão da Política de Tecnologia da Informação e Comunicação","Evolução da Rede de Telecomunicações da PBH","Serviços de Informática - Educação","Serviços Administrativos"
"42",10,163,2859,1,0,0,-1,"N�o h� meta",5232784,5106281,0.975824914615241,"0.7 a 1.3",0,"Associado","SECRETARIA MUNICIPAL  DE POLÍTICAS  SOCIAIS","Assistência Social","Assistência à Criança e ao Adolescente","Promoção e Proteção às Crianças e Adolescentes e suas Famílias"," Ações para a Promoção e Proteção dos Direitos da Criança, Adolescentes e suas Famílias","Apoio aos Conselhos Tutelares","Serviços Administrativos"
"43",9,231,2564,5,2000,2163,1.0815,"0.7 a 1.3",800000,1150000,1.4375,"1.3 a 2.0",0.752347826957703,"Sustentador","SECRETARIA MUNICIPAL DE MEIO AMBIENTE","Gestão Ambiental","Preservação e Conservação Ambiental","Parques e Áreas Verdes","Operacionalização das Políticas Ambientais","Programa BH Mais Verde (Plantio de Árvores)","Plantio efetuado"
"44",10,235,2535,1,40,56,1.4,"1.3 a 2.0",1302500,278919,0.214141266794626,"0.01 a 0.4",6.5377402305603,"Sustentador","SECRETARIA MUNICIPAL ADJUNTA DE LAZER","Desporto e Lazer","Lazer","Programa de Atendimento ao Idoso","Programa Vida Ativa","Programa Vida Ativa/BH Cidadania ( META NÃO CUMULATIVA )","Núcleo em funcionamento"
"45",11,146,2338,2,70,87,1.24285714285714,"0.7 a 1.3",629000,170745,0.271454689984102,"0.01 a 0.4",4.57850646972656,"Associado","FUNDAÇÃO MUNICIPAL DE CULTURA","Cultura","Administração Geral","Gestão da Política Cultural","Gestão, Planejamento e Administração Cultural","Participação da Fundação em Eventos Locais, Nacionais e Internacionais","Participação em evento efetivada"
"46",9,243,1307,1,0,0,-1,"N�o h� meta",389400,55431,0.142349768875193,"0.01 a 0.4",0,"Sustentador","SUPERINTENDÊNCIA DE DESENVOLVIMENTO DA CAPITAL","Saneamento","Saneamento Básico Urbano","Gestão Ambiental","Implantação do Programa DRENURBS","Implantação do Programa DRENURBS","Serviços Administrativos"
"47",10,113,2334,3,10,10,1,"0.7 a 1.3",495000,243677,0.492276767676768,"0.4 a 0.7",2.03137755393982,"Associado","FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL","Assistência Social","Assistência Comunitária","Gestão da Política de Assistência Social","Gestão Compartilhada e Participação Social","Realização de Conferências","Evento realizado"
"48",6,26,3006,4,0,0,-1,"N�o h� meta",1304926,777853,0.596089739954603,"0.4 a 0.7",0,"Associado","FUNDO FINANCEIRO","Previdência Social","Previdência Básica","Gestão Previdenciária Municipal","Benefícios Previdenciários - Autarquias e Fundações","Encargos com Inativos e Pensionistas - HOB","Serviços Administrativos"
"49",9,243,2514,7,54,69,1.27777777777778,"0.7 a 1.3",5000,0,0,"N�o h� execu��o",-1,"Sustentador","SECRETARIA MUNICIPAL DE MEIO AMBIENTE","Gestão Ambiental","Controle Ambiental","Gestão Ambiental","Monitoramento e Controle Ambiental","Recuperação de Matas Ciliares - Diagnóstico de Áreas","Área vistoriada"
"50",6,7,2900,7,0,0,-1,"N�o h� meta",1921828,856842,0.445847391129695,"0.4 a 0.7",0,"Apoio Administrativo","SECRETARIA DE ADMINISTRAÇÃO REGIONAL MUNICIPAL OESTE","Administração","Administração Geral","Apoio Administrativo e Financeiro","Serviços Administrativos e Financeiros","Manutenção de Bens Próprios e de Infraestrutura","Serviços Administrativos"
"51",6,12,2548,3,12,12,1,"0.7 a 1.3",0,0,-1,"N�o h� meta",-1,"Associado","CORREGEDORIA-GERAL DO MUNICÍPIO","Administração","Controle Interno","Gestão do Sistema de Controle Interno","Serviços de Controles Disciplinares","Análise da Denúncia para Instauração de Processos","Relatório emitido"
"52",2,140,2334,3,1,1,1,"0.7 a 1.3",10000,9477,0.9477,"0.7 a 1.3",1.05518627166748,"Associado","SECRETARIA MUNICIPAL DE EDUCAÇÃO","Educação","Administração Geral","Gestão e Operacionalização da Política Educacional","Gestão Compartilhada e Participação Social","Realização de Conferências","Evento realizado"
"53",9,233,1370,1,0,0,-1,"N�o h� meta",455362,441893,0.970421335113602,"0.7 a 1.3",0,"Sustentador","SUPERINTENDÊNCIA DE DESENVOLVIMENTO DA CAPITAL","Urbanismo","Infra-Estrutura Urbana","Manutenção da Cidade","Recuperação de Passeios Públicos","Recuperação de Passeios Públicos","Serviços Administrativos"
"54",9,232,2855,6,1968,2532,1.28658536585366,"0.7 a 1.3",10000,0,0,"N�o h� execu��o",-1,"Sustentador","SECRETARIA MUNICIPAL ADJUNTA DE FISCALIZAÇÃO","Urbanismo","Serviços Urbanos","Movimento Respeito por BH","Coordenação da Fiscalização Municipal","Programa Operação Disque Sossego","Diligência realizada"
"55",10,127,2900,1,0,0,-1,"N�o h� meta",110000,0,0,"N�o h� execu��o",0,"Associado","FUNDO MUNICIPAL DE PROTEÇÃO E DEFESA DAS MINORIAS","Direitos da Cidadania","Direitos Individuais, Coletivos e Difusos","Promoção e Defesa de Direitos Humanos e Cidadania","Serviços Administrativos e Financeiros","Serviços Administrativos e Financeiros","Serviços Administrativos"
"56",6,3,2011,1,0,0,-1,"N�o h� meta",730000,995165,1.3632397260274,"1.3 a 2.0",0,"Associado","PROCURADORIA-GERAL DO MUNICÍPIO","Encargos Especiais","Outros Encargos Especiais","Prestação de Serviços Jurídicos","Indenizações Administrativas e Sentenças Judiciais","Indenizações Administrativas e Sentenças Judiciais","Serviços Administrativos"
"57",6,7,2900,7,0,0,-1,"N�o h� meta",2493640,1761648,0.70645642514557,"0.7 a 1.3",0,"Apoio Administrativo","SECRETARIA DE ADMINISTRAÇÃO REGIONAL MUNICIPAL PAMPULHA","Administração","Administração Geral","Apoio Administrativo e Financeiro","Serviços Administrativos e Financeiros","Manutenção de Bens Próprios e de Infraestrutura","Serviços Administrativos"
"58",9,73,2581,2,5,5,1,"0.7 a 1.3",0,0,-1,"N�o h� meta",-1,"Associado","FUNDAÇÃO ZOO-BOTÂNICA DE BELO HORIZONTE","Gestão Ambiental","Preservação e Conservação Ambiental","Preservação e Conservação da Fauna e Flora","Preservação e Conservação do Acervo Florístico","Projetos de Conservação e Pesquisa","Projeto realizado"
"59",9,57,2584,5,0,0,-1,"N�o h� meta",10499689,9852423,0.938353793145683,"0.7 a 1.3",0,"Associado","SUPERINTENDÊNCIA DE DESENVOLVIMENTO DA CAPITAL","Urbanismo","Infra-Estrutura Urbana","Gestão da Política Urbana","Apoio Operacional de Investimentos Municipais","Apoio aos Serviços de Projetos","Serviços Administrativos"
"60",11,155,2375,6,90,127,1.41111111111111,"1.3 a 2.0",0,0,-1,"N�o h� meta",-1,"Associado","FUNDAÇÃO MUNICIPAL DE CULTURA","Cultura","Patrimônio Histórico, Artístico e Arqueológico","História, Memória e Patrimônio Cultural de Belo Horizonte","Identificação e Valorização do Patrimônio e das Identidades Culturais","Gestão de Documentos","Unidade Atendida"
"61",6,7,2783,2,0,0,-1,"N�o h� meta",4000000,0,0,"N�o h� execu��o",0,"Apoio Administrativo","SECRETARIA DE ADMINISTRAÇÃO REGIONAL MUNICIPAL CENTRO-SUL","Transporte","Serviços Urbanos","Apoio Administrativo e Financeiro","Gerenciamento do Terminal Rodoviário Israel Pinheiro - Centro Sul","Transferências de Receitas do Terminal Rodoviário - TERGIP/SARMU-CS para DER/MG","Serviços Administrativos"
"62",2,140,2041,2,4680,21005,4.48824786324786,"Acima de 2.0",188000,13928,0.0740851063829787,"0.01 a 0.4",60.5823249816895,"Associado","SECRETARIA MUNICIPAL DE EDUCAÇÃO","Educação","Educação Infantil","Gestão e Operacionalização da Política Educacional","Formação para Profissionais da Educação","Formação de Professores da Educação Infantil","Pessoa capacitada"
"63",9,73,2817,3,10000,45537,4.5537,"Acima de 2.0",7194,3575,0.496941896024465,"0.4 a 0.7",9.16344547271729,"Associado","FUNDAÇÃO ZOO-BOTÂNICA DE BELO HORIZONTE","Gestão Ambiental","Preservação e Conservação Ambiental","Preservação e Conservação da Fauna e Flora","Educação Ambiental e Promoção de Eventos","Criação e Produção de Material Educativo e de Informação","Material produzido"
"64",9,57,2584,7,0,0,-1,"N�o h� meta",7763091,7172753,0.923955805747994,"0.7 a 1.3",0,"Associado","SUPERINTENDÊNCIA DE DESENVOLVIMENTO DA CAPITAL","Urbanismo","Infra-Estrutura Urbana","Gestão da Política Urbana","Apoio Operacional de Investimentos Municipais","Apoio aos Serviços de Manutenção","Serviços Administrativos"
"65",1,30,2620,5,0,0,-1,"N�o h� meta",7850401,1540744,0.196263095350161,"0.01 a 0.4",0,"Associado","HOSPITAL MUNICIPAL ODILON BEHRENS","Saúde","Assistência Hospitalar e Ambulatorial","Atendimento Ambulatorial, Emergencial e Hospitalar","Gestão Técnico-Hospitalar","Assistência Farmacêutica e Materiais Especiais","Serviços Administrativos"
"66",6,12,2874,8,12,12,1,"0.7 a 1.3",0,0,-1,"N�o h� meta",-1,"Associado","SECRETARIA ESPECIAL PREVENÇÃO CORRUPÇÃO E INFORMAÇÕES ESTRATÉGICAS","Administração","Controle Interno","Gestão do Sistema de Controle Interno","Serviço de Prevenção da Corrupção e Informações Estratégicas","Produção de Informações Estratégicas","Atividade realizada"
"67",10,132,2121,6,150000,165020,1.10013333333333,"0.7 a 1.3",1000,0,0,"N�o h� execu��o",-1,"Associado","SECRETARIA MUNICIPAL ADJUNTA DE SEGURANÇA ALIMENTAR E NUTRICIONAL","Agricultura","Promoção da Produção Vegetal","Gestão da Política Municipal de Segurança Alimentar e Nutricional","Fomento e Gerenciamento da Comercialização Direta da Agricultura Urbana e Familiar","Feira de Orgânicos","Alimento comercializado"
"68",10,236,2333,5,4,4,1,"0.7 a 1.3",108000,64718,0.599240740740741,"0.4 a 0.7",1.66877841949463,"Sustentador","SECRETARIA MUNICIPAL ADJUNTA DE DIREITOS DE CIDADANIA","Direitos da Cidadania","Direitos Individuais, Coletivos e Difusos","Direito de Todos","Promoção de Ações Afirmativas dos Movimentos Sociais","Ações Afirmativas de Promoção de Direitos e Combate à Violência Contra a Mulher","Ação realizada"
"69",2,207,2701,4,27,48,1.77777777777778,"1.3 a 2.0",553000,0,0,"N�o h� execu��o",-1,"Sustentador","SECRETARIA MUNICIPAL DE EDUCAÇÃO","Educação","Educação Especial","Melhoria da Qualidade da Educação","Apoio a inclusão de alunos com deficiência no cotidiano escolar","Formação de Professores de Educação Especial","Formação Realizada"
"70",9,57,2584,1,0,0,-1,"N�o h� meta",0,8000,-1,"N�o h� meta",0,"Associado","SUPERINTENDÊNCIA DE DESENVOLVIMENTO DA CAPITAL","Urbanismo","Infra-Estrutura Urbana","Gestão da Política Urbana","Apoio Operacional de Investimentos Municipais","Apoio aos Serviços Administrativos","Serviços Administrativos"
"71",6,96,2005,1,0,0,-1,"N�o h� meta",1258300,1150915,0.91465866645474,"0.7 a 1.3",0,"Associado","COORDENAÇÃO EXECUTIVA DO PROGRAMA BH METAS E RESULTADOS","Administração","Administração Geral","Coordenação Superior Municipal","Apoio à Coordenação Executiva do Programa BH Metas e Resultados","Apoio à Coordenação Executiva do Programa BH Metas e Resultados","Serviços Administrativos"
"72",1,204,2334,2,0,0,-1,"N�o h� meta",812562,232091,0.285628665874112,"0.01 a 0.4",0,"Sustentador","FUNDO MUNICIPAL DE SAÚDE","Saúde","Administração Geral","Gestão e Regionalização da Saúde","Gestão Compartilhada e Participação Social","Apoio aos Conselhos Municipais","Serviços Administrativos"
"73",11,154,2369,1,120,177,1.475,"1.3 a 2.0",10300000,8774310,0.851874757281553,"0.7 a 1.3",1.73147511482239,"Associado","FUNDO MUNICIPAL DE PROJETOS CULTURAIS","Cultura","Difusão Cultural","Fomento, Incentivo e Desenvolvimento Cultural","Gestão da Lei Municipal de Incentivo à Cultura","Incentivos a Projetos Culturais","Projeto incentivado"
"74",1,28,2829,3,80,96.6,1.2075,"0.7 a 1.3",4758500,4380664,0.920597667332142,"0.7 a 1.3",1.31164789199829,"Associado","FUNDO MUNICIPAL DE SAÚDE","Saúde","Vigilância Epidemiológica","Vigilância em Saúde","Vigilância em Saúde","Ações de Vigilância Epidemiológica ( META NÃO CUMULATIVA )","Investigação realizada"
